捱三頂四	ai[fi sj[hh dk[dy si[we
挨三頂五	ai[fs sj[hh dk[dy wu[hu
捱三頂五	ai[fi sj[hh dk[dy wu[hu
挨山塞海	ai[fs uj[uk se[gt hd[dr
唉聲嘆氣	ai[ks ug[um tj[ky qi[rh
愛生惡死	ai[au ug[pf wu[hx si[hx
礙手礙腳	ai[eo uz[su ai[eo jn[ot
哀絲豪肉	ai[wk si[sh hc[wu rz[kr
哀絲豪竹	ai[wk si[sh hc[wu vu[rr
挨絲切縫	ai[fs si[sh qp[qd fg[sw
哀思如潮	ai[wk si[tx ru[nk ic[du
哀死事生	ai[wk si[hx ui[hk ug[pf
愛素好古	ai[au su[fy hc[nz gu[uk
哀天叫地	ai[wk tm[hd jn[kv di[ty
哀慟頑豔	ai[wk ts[xe wj[ey yj[fd
哀痛欲絕	ai[wk ts[bs yu[bd jt[sd
愛屋及烏	ai[au wu[uh ji[pv wu[bv
愛屋及屋	ai[au wu[uh ji[pv wu[uh
愛物仁民	ai[au wu[nb rf[re mb[kv
哀喜交併	ai[wk xi[uk jn[li bk[bk
愛惜羽毛	ai[au xi[xg yu[xx mc[sv
愛賢念舊	ai[au xm[ub nm[rx jq[uo
矮小精悍	ai[uh xn[ub jk[mf hj[xo
愛遠惡近	ai[au yr[ez wu[hx jb[jz
愛月不梳頭	ai[au yt[ke bu[eu uu[aw tz[dd
哀樂相生	ai[wk yt[px xl[am ug[pf
哀樂中節	ai[wk yt[px vs[ku jp[ce
愛則加諸膝	ai[au ze[bd jx[lk vu[yt xi[oa
愛則加諸膝惡則墜諸淵	ai[au ze[bd jx[lk vu[yt xi[oa wu[hx ze[bd vv[et vu[yt yr[dp
愛憎分明	ai[au zg[xb ff[bd mk[oo
愛憎無常	ai[au zg[xb wu[ee ih[xk
挨著勤的沒懶的	ai[fs ve[ym qb[nl de[bb mw[dj lj[xh de[bb
愛者如寶	ai[au ve[to ru[nk bc[gw
愛之如寶	ai[au vi[dv ru[nk bc[gw
愛之炫光	ai[au vi[dv xr[hw gl[xe
愛之慾其生	ai[au vi[dv yu[bd qi[cb ug[pf
愛之欲其生惡之欲其死	ai[au vi[dv yu[bd qi[cb ug[pf wu[hx vi[dv yu[bd qi[cb si[hx
矮子觀場	ai[uh zi[lh gr[yj ih[tv
矮子看戲	ai[uh zi[lh kj[fm xi[yg
矮子看戲隨人道好	ai[uh zi[lh kj[fm xi[yg sv[eu rf[pd dc[bz hc[nz
矮子面前不說短話	ai[uh zi[lh mm[ew qm[bo bu[eu uo[yb dr[ud hx[yq
愛子先愛妻	ai[au zi[lh xm[ne ai[au qi[hn
礙足礙手	ai[eo zu[kv ai[eo uz[su
安安穩穩	an[gn an[gn wf[hd wf[hd
安邦定國	an[gn bh[fe dk[gp go[ww
安邦治國	an[gn bh[fe vi[ds go[ww
按兵不動	an[fg bk[qb bu[eu ds[el
按兵不舉	an[fg bk[qb bu[eu ju[xf
暗冰反射	an[ol bk[du fj[py ue[uc
按兵束甲	an[fg bk[qb uu[hk jx[ou
案兵束甲	an[ga bk[qb uu[hk jx[ou
案兵無動	an[ga bk[qb wu[ee ds[el
安步當車	an[gn bu[vu dh[xx ie[qu
按部就班	an[fg bu[le jq[wy bj[wd
按部就隊	an[fg bu[le jq[wy dv[er
鞍不離馬	an[gg bu[eu li[wk ma[vv
鞍不離馬背	an[gg bu[eu li[wk ma[vv bw[bo
鞍不離馬背甲不離將身	an[gg bu[eu li[wk ma[vv bw[bo jx[ou bu[eu li[wk jl[dx uf[pu
鞍不離馬甲不離身	an[gg bu[eu li[wk ma[vv jx[ou bu[eu li[wk uf[pu
安不忘危	an[gn bu[eu wh[wx ww[de
安不忘虞	an[gn bu[eu wh[wx yu[hk
暗察明訪	an[ol ia[gx mk[oo fh[yf
安常處順	an[gn ih[xk iu[wb uy[iy
安常履順	an[gn ih[xk lv[ur uy[iy
安常守分	an[gn ih[xk uz[gc ff[bd
安常守故	an[gn ih[xk uz[gc gu[gw
安常習故	an[gn ih[xk xi[vd gu[gw
暗潮湖岸	an[ol ic[du hu[dg an[ui
暗潮營地	an[ol ic[du yk[ck di[ty
安車蒲輪	an[gn ie[qu pu[cd ly[ir
安車軟輪	an[gn ie[qu rr[id ly[ir
暗錘打人	an[ol iv[ji da[fd rf[pd
暗淡幻象	an[ol dj[dh hr[yv xl[dk
黯淡無光	an[hl dj[dh wu[ee gl[xe
暗鬥明爭	an[ol dz[du mk[oo vg[dx
暗度陳倉	an[ol du[gn if[eq ch[re
暗度金針	an[ol du[gn jb[rw vf[ju
案牘勞形	an[ga du[pu lc[cl xk[kp
安堵樂業	an[gn du[tt le[px ye[ub
安堵如常	an[gn du[tt ru[nk ih[xk
安堵如故	an[gn du[tt ru[nk gu[gw
安度晚年	an[gn du[gn wj[od nm[rn
案牘之勞	an[ga du[pu vi[dv lc[cl
安分潔已	an[gn ff[bd jp[du yi[kv
安分守己	an[gn ff[bd uz[gc ji[kv
安分守理	an[gn ff[bd uz[gc li[wo
安分守命	an[gn ff[bd uz[gc mk[rh
安分守已	an[gn ff[bd uz[gc yi[kv
安分守拙	an[gn ff[bd uz[gc vo[fi
安分隨時	an[gn ff[bd sv[eu ui[oc
安分循理	an[gn ff[bd xy[rp li[wo
安分知足	an[gn ff[bd vi[uk zu[kv
安富恤貧	an[gn fu[gh xu[xp pb[fb
安富恤窮	an[gn fu[gh xu[xp qs[xl
暗縛之指	an[ol fu[sf vi[dv vi[fb
安富尊榮	an[gn fu[gh zy[bc rs[ca
暗鋼飛刀	an[ol gh[jk fw[vp dc[vp
岸谷之變	an[ui gu[bk vi[dv bm[yy
安故重遷	an[gn gu[gw vs[ph qm[qz
安國富民	an[gn go[ww fu[gh mb[kv
安國寧家	an[gn go[ww nk[gd jx[gu
黯晦消沉	an[hl hv[or xn[dx if[dg
安魂定魄	an[gn hy[eg dk[gp po[bg
