哀江頭	ai[wk jl[dg tz[dd
荷風送香氣	he[cr fg[ji ss[bz xl[ho qi[rh
合昏尚知時	he[rh hy[uo uh[xk vi[uk ui[oc
和賈舍人早朝大明宮之作	he[hk jx[xb ue[rg rf[pd zc[ou ic[uo da[hr mk[oo gs[gk vi[dv zo[rv
和晉陵路丞早春遊望	he[hk jb[ho lk[et lu[zw ig[lh zc[ou iy[so yz[df wh[ww
賀蘭山下陣如雲	he[lb lj[bs uj[uk xx[hb vf[ei ru[nk yy[es
荷笠帶斜陽	he[cr li[vl dd[cj xp[rd yh[eo
何滿子	he[rk mj[dc zi[lh
何年致此身	he[rk nm[rn vi[hw ci[vb uf[pu
何求美人折	he[rk qq[hu mw[bw rf[pd ve[fj
何日復歸來	he[rk ri[wh fu[ro gv[ux ld[hm
何日平胡虜	he[rk ri[wh pk[hb hu[go lu[hl
河山北枕秦關險	he[dk uj[uk bw[ub vf[ag qb[sh gr[bt xm[er
河上仙翁去不回	he[dk uh[bh xm[ru wg[bx qu[ts bu[eu hv[wk
禾生隴畝無東西	he[pa ug[pf ls[ey mu[wt wu[ee ds[qx xi[hk
河聲入海遙	he[dk ug[um ru[pd hd[dr yc[az
何時返旆勒燕然	he[rk ui[oc fj[pz pw[fr le[gl yj[nk rj[xd
何事入羅幃	he[rk ui[hk ru[pd lo[sx ww[jw
何時倚虛幌	he[rk ui[oc yi[rd xu[hy hl[jo
何所慰吾誠	he[rk so[pj ww[ux wu[wk ig[yw
何惜醉流霞	he[rk xi[xg zv[yw lq[dw xx[yk
何須身後千載名	he[rk xu[py uf[pu hz[pk qm[pu zd[ti mk[xk
何以有羽翼	he[rk yi[sr yz[uo yu[xx yi[xt
何因北歸去	he[rk yb[wd bw[ub gv[ux qu[ts
何用別尋方外去	he[rk ys[ou bp[kd xy[xc fh[dw wd[xb qu[ts
何用孤高比雲月	he[rk ys[ou gu[zp gc[wk bi[bb yy[es yt[ke
曷與三五相攀追	he[ob yu[hv sj[hh wu[hu xl[am pj[ad vv[pz
賀知章	he[lb vi[uk vh[lo
恨別鳥驚心	hf[xg bp[kd nn[nh jk[xw xb[dv
恨無知音賞	hf[xg wu[ee vi[uk yb[lo uh[xk
衡陽歸雁幾封書	hg[rd yh[eo gv[ux yj[ir ji[pv fg[tc uu[vv
紅豆生南國	hs[sg dz[hk ug[pf nj[uk go[ww
鴻飛冥冥日月白	hs[dn fw[vp mk[go mk[go ri[wh yt[ke bd[po
紅樓隔雨相望冷	hs[sg lz[am ge[eh yu[hk xl[am wh[ww lg[dr
紅泥小火爐	hs[sg ni[du xn[ub ho[dp lu[hh
訇然中開	hs[by rj[xd vs[ku kd[hc
紅樹花迎曉露開	hs[sg uu[ay hx[cr yk[pz xn[oq lu[yz kd[hc
紅桃綠柳垂簷向	hs[sg tc[av lv[sx lq[ap iv[ph yj[ad xl[pk
鴻雁不堪愁裡聽	hs[dn yj[ir bu[eu kj[tq iz[hx li[ot tk[kj
鴻雁幾時到	hs[dn yj[ir ji[pv ui[oc dc[hd
紅顏棄軒冕	hs[sg yj[ly qi[wc xr[ig mm[od
紅顏未老恩先斷	hs[sg yj[ly ww[ha lc[tb en[wx xm[ne dr[mj
紅葉晚蕭蕭	hs[sg ye[ku wj[od xn[cx xn[cx
紅妝白日鮮	hs[sg vl[dn bd[po ri[wh xm[yy
後不見來者	hz[pk bu[eu jm[ke ld[hm ve[to
後宮詞	hz[pk gs[gk ci[yv
後宮佳麗三千人	hz[pk gs[gk jx[rt li[hk sj[hh qm[pu rf[pd
後來鞍馬何逡巡	hz[pk ld[hm an[gg ma[vv he[rk qy[sz xy[vz
候時而來	hz[ru ui[oc er[ek ld[hm
侯王將相望久絕	hz[rv wh[su jl[dx xl[am wh[ww jq[xd jt[sd
後有韋諷前支盾	hz[pk yz[uo ww[hh fg[yf qm[bo vi[uy dy[pu
忽到龐公棲隱處	hu[bx dc[hd ph[gy gs[bs qi[ax yb[ed iu[wb
呼兒將出換美酒	hu[kp er[pv jl[dx iu[ck hr[fd mw[bw jq[dy
胡兒眼淚雙雙落	hu[go er[pv yj[mg lw[dm ul[yy ul[yy lo[cd
忽逢青鳥使	hu[bx fg[wz qk[fo nn[nh ui[rh
忽復乘舟夢日邊	hu[bx fu[ro ig[qb vz[pk mg[ax ri[wh bm[lz
虎鼓瑟兮鸞回車	hu[hj gu[uu se[wx xi[bk lr[yn hv[wk ie[qu
忽魂悸以魄動	hu[bx hy[eg ji[xh yi[sr po[bg ds[el
忽見陌頭楊柳色	hu[bx jm[ke mo[ee tz[dd yh[av lq[ap se[db
胡窺青海灣	hu[go kv[xe qk[fo hd[dr wj[dy
忽念山中客	hu[bx nm[rx uj[uk vs[ku ke[gw
胡騎憑陵雜風雨	hu[go qi[md pk[rj lk[et za[ja fg[ji yu[hk
胡琴琵琶與羌笛	hu[go qb[wr pi[wb pa[wb yu[hv ql[yv di[vy
狐裘不暖錦衾薄	hu[qp qq[hy bu[eu nr[oa jb[jb qb[ry bo[cd
忽然更作漁陽摻	hu[bx rj[xd gg[ho zo[rv yu[dy yh[eo ij[fs
忽然遭時變	hu[bx rj[xd zc[hz ui[oc bm[yy
胡人落淚沾邊草	hu[go rf[pd lo[cd lw[dm vj[db bm[lz cc[co
忽如一夜春風來	hu[bx ru[nk yi[hh ye[wr iy[so fg[ji ld[hm
胡天八月即飛雪	hu[go tm[hd ba[pd yt[ke ji[ge fw[vp xt[yx
胡為乎來哉	hu[go ww[dl hu[pb ld[hm zd[tk
忽聞歌古調	hu[bx wf[me ge[kd gu[uk dn[yk
忽聞海上有仙山	hu[bx wf[me hd[dr uh[bh yz[uo xm[ru uj[uk
忽聞水上琵琶聲	hu[bx wf[me uv[uu uh[bh pi[wb pa[wb ug[um
胡雁哀鳴夜夜飛	hu[go yj[ir ai[wk mk[kn ye[wr ye[wr fw[vp
湖月照我影	hu[dg yt[ke vc[od wo[pf yk[op
花鈿委地無人收	hx[cr dm[jt ww[hn di[ty wu[ee rf[pd uz[vw
畫閣朱樓盡相望	hx[ht ge[mw vu[ph lz[am jb[ud xl[am wh[ww
畫工如山貌不同	hx[ht gs[hu ru[nk uj[uk mc[pb bu[eu ts[kh
花冠不整下堂來	hx[cr gr[ge bu[eu vg[hh xx[hb th[xt ld[hm
花間一壺酒	hx[cr jm[mo yi[hh hu[uy jq[dy
花近高樓傷客心	hx[cr jb[jz gc[wk lz[am uh[rr ke[gw xb[dv
花徑不曾緣客掃	hx[cr jk[rs bu[eu cg[bo yr[sv ke[gw sc[fx
畫樓西畔桂堂東	hx[ht lz[am xi[hk pj[tb gv[at th[xt ds[qx
花路入溪口	hx[cr lu[zw ru[pd xi[da kz[uv
花落知多少	hx[cr lo[cd vi[uk do[xx uc[xp
畫眉深淺入時無	hx[ht mw[mm uf[dg qm[dj ru[pd ui[oc wu[ee
花門剺面請雪恥	hx[cr mf[du li[[ mm[ew qk[yf xt[yx ii[ev
華亭鶴唳詎可聞	hx[ru tk[wd he[gn li[kh ju[yk ke[dk wf[me
畫圖省識春風面	hx[ht tu[ww ug[xm ui[yk iy[so fg[ji mm[ew
化為狼與豺	hx[rq ww[dl lh[ql yu[hv id[pc
花隱掖垣暮	hx[cr yb[ed ye[fw yr[th mu[co
花迎劍佩星初落	hx[cr yk[pz jm[rd pw[rj xk[op iu[yd lo[cd
懷君屬秋夜	hk[xb jy[xk uu[up qq[hh ye[wr
淮南木落楚山多	hk[dv nj[uk mu[ub lo[cd iu[ap uj[uk do[xx
淮南一葉下	hk[dv nj[uk yi[hh ye[ku xx[hb
淮上對秋山	hk[dv uh[bh dv[yc qq[hh uj[uk
淮上喜會梁川故人	hk[dv uh[bh xi[uk hv[re ll[da ir[pu gu[gw rf[pd
淮西有賊五十載	hk[dv xi[hk yz[uo zw[bg wu[hu ui[hu zd[ti
淮陰市井笑韓信	hk[dv yb[eo ui[wj jk[ep xn[vp hj[uw xb[ry
緩歌慢舞凝絲竹	hr[sa ge[kd mj[xo wu[rx nk[db si[sh vu[rr
環佩空歸月下魂	hr[wb pw[rj ks[xg gv[ux yt[ke xx[hb hy[eg
歡笑情如舊	hr[yd xn[vp qk[xf ru[nk jq[uo
歡言得所憩	hr[yd yj[we de[ro so[pj qi[qx
歡醉中	hr[yd zv[yw vs[ku
黃埃散漫風蕭索	hl[gy ai[ts sj[gw mj[do fg[ji xn[cx so[uy
黃塵足今古	hl[gy if[xt zu[kv jb[rd gu[uk
荒城臨古渡	hl[cw ig[tw lb[uv gu[uk du[dg
皇甫冉	hl[bw fu[uo rj[kt
黃鶴樓	hl[gy he[gn lz[am
黃河入海流	hl[gy he[dk ru[pd hd[dr lq[dw
黃鶴一去不復返	hl[gy he[gn yi[hh qu[ts bu[eu fu[ro fj[pz
黃鶴之飛尚不得	hl[gy he[gn vi[dv fw[vp uh[xk bu[eu de[ro
黃河之水天上來	hl[gy he[dk vi[dv uv[uu tm[hd uh[bh ld[hm
黃昏到寺蝙蝠飛	hl[gy hy[uo dc[hd si[tc bm[ih fu[ih fw[vp
黃昏胡騎塵滿城	hl[gy hy[uo hu[go qi[md if[xt mj[dc ig[tw
黃昏飲馬傍交河	hl[gy hy[uo yb[ud ma[vv bh[rl jn[li he[dk
黃金燃桂盡	hl[gy jb[rw rj[hx gv[at jb[ud
恍驚起而長嗟	hl[xx jk[xw qi[zk er[ek ih[ph jp[ky
荒居舊業貧	hl[cw ju[ug jq[uo ye[ub pb[fb
黃蘆苦竹繞宅生	hl[gy lu[ch ku[cg vu[rr rc[sq vd[gp ug[pf
黃門飛鞚動塵	hl[gy mf[du fw[vp ks[[ ds[el if[xt
黃山舊繞漢宮斜	hl[gy uj[uk jq[uo rc[sq hj[dy gs[gk xp[rd
荒戍落黃葉	hl[cw uu[wd lo[cd hl[gy ye[ku
黃葉仍風雨	hl[gy ye[ku rg[rn fg[ji yu[hk
黃雲隴底白雪飛	hl[gy yy[es ls[ey di[gu bd[po xt[yx fw[vp
黃雲萬里動風色	hl[gy yy[es wj[hv li[ot ds[el fg[ji se[db
黃雲蕭條白日暗	hl[gy yy[es xn[cx tn[wa bd[po ri[wh an[ol
會當凌絕頂	hv[re dh[xx lk[dt jt[sd dk[dy
悔教夫婿覓封侯	hv[xr jn[tw fu[er xu[np mi[aj fg[tc hz[rv
回看天際下中流	hv[wk kj[fm tm[hd ji[ee xx[hb vs[ku lq[dw
回看血淚相和流	hv[wk kj[fm xt[pm lw[dm xl[am he[hk lq[dw
回樂峰前沙似雪	hv[wk le[px fg[uw qm[bo ua[dx si[rs xt[yx
回眸一笑百媚生	hv[wk mz[ms yi[hh xn[vp bd[eo mw[nm ug[pf
回日樓臺非甲帳	hv[wk ri[wh lz[am td[sk fw[su jx[ou vh[ji
揮手淚沾巾	hv[fg uz[su lw[dm vj[db jb[ku
揮手自茲去	hv[fg uz[su zi[pm zi[by qu[ts
回頭下望人寰處	hv[wk tz[dd xx[hb wh[ww rf[pd hr[gs iu[wb
回鄉偶書	hv[wk xl[sp ou[ro uu[vv
會須一飲三百杯	hv[re xu[py yi[hh yb[ud sj[hh bd[eo bw[ab
回崖沓障凌蒼蒼	hv[wk ya[ui ta[uo vh[el lk[dt ch[cr ch[cr
回舟不待月	hv[wk vz[pk bu[eu dd[rt yt[ke
魂返關塞黑	hy[eg fj[pz gr[bt sd[gt hw[sd
魂來楓林青	hy[eg ld[hm fg[af lb[aa qk[fo
魂魄不曾來入夢	hy[eg po[bg bu[eu cg[bo ld[hm ru[pd mg[ax
渾脫	hy[dg to[ob
渾欲不勝簪	hy[dg yu[bd bu[eu ug[op zj[vj
或從十五北防河	ho[gk cs[rr ui[hu wu[hu bw[ub fh[ef he[dk
或恐是同鄉	ho[gk ks[gx ui[op ts[kh xl[sp
或騎麒麟翳鳳凰	ho[gk qi[md qi[gq lb[gm yi[kx fg[jy hl[jb
霍如羿射九日落	ho[yv ru[nk yi[xc ue[uc jq[pv ri[wh lo[cd
火維地荒足妖怪	ho[dp ww[sv di[ty hl[cw zu[kv yc[np gk[xy
既辨	ji[gj bm[ld
羈泊欲窮年	ji[sg bo[db yu[bd qs[xl nm[rn
即此羨閒逸	ji[ge ci[vb xm[bd xm[ma yi[dz
即從巴峽穿巫峽	ji[ge cs[rr ba[ku xx[uj ir[xy wu[gr xx[uj
幾度隔山川	ji[pv du[gn ge[eh uj[uk ir[pu
即公孫可知矣	ji[ge gs[bs sy[zx ke[dk vi[uk yi[su
寄韓諫議	ji[gd hj[uw jm[yh yi[yd
幾行歸塞盡	ji[pv hh[rh gv[ux sd[gt jb[ud
寂寂花時閉院門	ji[gu ji[gu hx[cr ui[oc bi[mc yr[eg mf[du
寂寂江山搖落處	ji[gu ji[gu jl[dg uj[uk yc[fa lo[cd iu[wb
寂寂竟何待	ji[gu ji[gu jk[lo he[rk dd[rt
幾盡而去	ji[pv jb[ud er[ek qu[ts
即今漂泊干戈際	ji[ge jb[rd pn[dx bo[db gj[hu ge[qp ji[ee
汲井漱寒齒	ji[dj jk[ep uu[dh hj[gd ii[vr
寄李儋元錫	ji[gd li[az dj[rd yr[ee xi[jo
肌理細膩骨肉勻	ji[oj li[wo xi[st ni[oq gu[ko rz[kr yy[bd
集靈臺二首之二	ji[va lk[xh td[sk er[hh uz[be vi[dv er[hh
集靈臺二首之一	ji[va lk[xh td[sk er[hh uz[be vi[dv yi[hh
羈旅長堪醉	ji[sg lv[fr ih[ph kj[tq zv[yw
雞鳴紫陌曙光寒	ji[yn mk[kn zi[vy mo[ee uu[os gl[xe hj[gd
寂寞空庭春欲晚	ji[gu mo[gc ks[xg tk[gq iy[so yu[bd wj[od
寂寞身後事	ji[gu mo[gc uf[pu hz[pk ui[hk
寂寞養殘生	ji[gu mo[gc yh[yp cj[hj ug[pf
寄全椒山中道士	ji[gd qr[rw jn[au uj[uk vs[ku dc[bz ui[uh
幾日到臨洮	ji[pv ri[wh dc[hd lb[uv tc[dv
寄上浮樑大兄	ji[gd uh[bh fu[da ll[da da[hr xs[ke
寄身且喜滄洲近	ji[gd uf[pu qp[ke xi[uk ch[dr vz[dd jb[jz
幾時杯重把	ji[pv ui[oc bw[ab vs[ph ba[fb
寄書長不達	ji[gd uu[vv ih[ph bu[eu da[dz
洎外供奉	ji[dz wd[xb gs[rg fg[sf
羈危萬里身	ji[sg ww[de wj[hv li[ot uf[pu
寄臥郊扉久	ji[gd wo[kb jn[le fw[hf jq[xd
積雪浮雲端	ji[hk xt[yx fu[da yy[es dr[lu
寄揚州韓綽判官	ji[gd yh[fv vz[dp hj[uw io[sb pj[bd gr[gu
際夜轉西壑	ji[ee ye[wr vr[ie xi[hk he[bt
積雨空林煙火遲	ji[hk yu[hk ks[xg lb[aa yj[hw ho[dp ii[uz
積雨輞川莊作	ji[hk yu[hk wh[ik ir[pu vl[gt zo[rv
記於郾城觀公孫氏舞劍器	ji[yk yu[eu yj[ke ig[tw gr[yj gs[bs sy[zx ui[pq wu[rx jm[rd qi[kq
既至金門遠	ji[gj vi[ht jb[rw mf[du yr[ez
掎摭星宿遺羲娥	ji[fd vi[fg xk[op xq[gr yi[vz xi[bh ee[np
機中錦字論長恨	ji[aj vs[ku jb[jb zi[gz ly[yr ih[ph hf[xg
繼周八代爭戰罷	ji[sm vz[kt ba[pd dd[rq vg[dx vj[bg ba[st
即周召伯之甘棠	ji[ge vz[kt vc[dk bo[rb vi[dv gj[nh th[xa
及茲契幽絕	ji[pv zi[by qi[fd yz[yy jt[sd
寄左省杜拾遺	ji[gd zo[ug ug[xm du[at ui[fr yi[vz
嘉賓復滿堂	jx[ul bb[gq fu[ro mj[dc th[xt
賈島	jx[xb dc[nu
嫁得瞿塘賈	jx[ng de[ro qu[mv th[tg jx[xb
家臨九江水	jx[gu lb[uv jq[pv jl[dg uv[uu
佳人	jx[rt rf[pd
賈氏窺簾韓掾少	jx[xb ui[pq kv[xe lm[xj hj[uw yr[fv uc[xp
家書到隔年	jx[gu uu[vv dc[hd ge[eh nm[rn
家書抵萬金	jx[gu uu[vv di[fu wj[hv jb[rw
家童掃蘿徑	jx[gu ts[lo sc[fx lo[cs jk[rs
賈誼上書憂漢室	jx[xb yi[yg uh[bh uu[vv yz[xy hj[dy ui[gh
嫁與弄潮兒	jx[ng yu[hv ns[wc ic[du er[pv
家在蝦蟆陵下住	jx[gu zd[ut ha[ix ma[ic lk[et xx[hb vu[rd
家住層城鄰漢苑	jx[gu vu[rd cg[ue ig[tw lb[re hj[dy yr[cx
餞別王十一南遊	jm[uj bp[kd wh[su ui[hu yi[hh nj[uk yz[df
建德非吾土	jm[yj de[ru fw[su wu[wk tu[uh
澗底束荊薪	jm[dm di[gu uu[hk jk[cd xb[cl
見爾當何秋	jm[ke er[dx dh[xx he[rk qq[hh
劍閣崢嶸而崔嵬	jm[rd ge[mw vg[ud rs[uc er[ek cv[uv ww[ug
間關鶯語花底滑	jm[mo gr[bt yk[cn yu[yw hx[cr di[gu hx[dg
劍河風急雪片闊	jm[rd he[dk fg[ji ji[dx xt[yx pm[pu ko[md
艱難苦恨繁霜鬢	jm[yg nj[yv ku[cg hf[xg fj[ry ul[ya bb[ig
賤日豈殊眾	jm[bj ri[wh qi[uk uu[hp vs[rr
兼示符離及下邽弟妹	jm[bh ui[ex fu[vr li[wk ji[pv xx[hb gv[[ di[bg mw[nh
見螳螂之抱影	jm[ke th[ix lh[il vi[dv bc[fb yk[op
劍外忽傳收薊北	jm[rd wd[xb hu[bx ir[re uz[vw ji[cy bw[ub
揀選撰刻留山阿	jm[fq xr[nz vr[fk ke[wd lq[pt uj[uk ee[ek
建業暮鍾時	jm[yj ye[ub mu[co vs[jv ui[oc
漸與骨肉遠	jm[di yu[hv gu[ko rz[kr yr[ez
薦諸太廟比郜鼎	jm[cu vu[yt td[dd mn[gy bi[bb gc[ne dk[mv
將蟲響悲於前聽	jl[dx is[ks xl[kp bw[fx yu[fr qm[bo tk[kj
江春入舊年	jl[dg iy[so ru[pd jq[uo nm[rn
絳脣珠袖兩寂寞	jl[sw iy[ik vu[wp xq[yy ll[hk ji[gu mo[gc
將村獨歸處	jl[dx cy[ac du[qi gv[ux iu[wb
將登太行雪滿山	jl[dx dg[dd td[dd hh[rh xt[yx mj[dc uj[uk
江楓漁火對愁眠	jl[dg fg[af yu[dy ho[dp dv[yc iz[hx mm[mm
將赴吳興登樂遊原	jl[dx fu[zb wu[kt xk[xb dg[dd le[px yz[df yr[ib
江漢曾為客	jl[dg hj[dy cg[bo ww[dl ke[gw
江湖多風波	jl[dg hu[dg do[xx fg[ji bo[dp
江湖秋水多	jl[dg hu[dg qq[hh uv[uu do[xx
江淮度寒食	jl[dg hk[dv du[gn hj[gd ui[rl
將家就魚麥	jl[dx jx[gu jq[wy yu[dt md[fw
江靜潮初落	jl[dg jk[fd ic[du iu[yd lo[cd
將軍得名三十載	jl[dx jy[gi de[ro mk[xk sj[hh ui[hu zd[ti
將軍畫善蓋有神	jl[dx jy[gi hx[ht uj[yk gd[bm yz[uo uf[uo
將軍角弓不得控	jl[dx jy[gi jn[do gs[kv bu[eu de[ro ks[fx
將軍金甲夜不脫	jl[dx jy[gi jb[rw jx[ou ye[wr bu[eu to[ob
將軍魏武之子孫	jl[dx jy[gi ww[hg wu[hv vi[dv zi[lh sy[zx
將軍下筆開生面	jl[dx jy[gi xx[hb bi[vm kd[hc ug[pf mm[ew
將軍夜引弓	jl[dx jy[gi ye[wr yb[gu gs[kv
將老身反累	jl[dx lc[tb uf[pu fj[py lw[ty
江柳共風煙	jl[dg lq[ap gs[gb fg[ji yj[hw
江流曲似九迴腸	jl[dg lq[dw qu[ou si[rs jq[pv hv[wk ih[ov
江流石不轉	jl[dg lq[dw ui[ek bu[eu vr[ie
江流天地外	jl[dg lq[dw tm[hd di[ty wd[xb
江南逢李龜年	jl[dg nj[uk fg[wz li[az gv[do nm[rn
江南曲	jl[dg nj[uk qu[ou
江南有丹橘	jl[dg nj[uk yz[uo dj[kw ju[ay
江南瘴癘地	jl[dg nj[uk vh[bl li[bw di[ty
江畔洲如月	jl[dg pj[tb vz[dd ru[nk yt[ke
江清月近人	jl[dg qk[df yt[ke jb[jz rf[pd
江入大荒流	jl[dg ru[pd da[hr hl[cw lq[dw
江山故宅空文藻	jl[dg uj[uk gu[gw vd[gp ks[xg wf[wi zc[cd
江山留勝蹟	jl[dg uj[uk lq[pt ug[op ji[yz
江上幾人在	jl[dg uh[bh ji[pv rf[pd zd[ut
江上月明胡雁過	jl[dg uh[bh yt[ke mk[oo hu[go yj[ir go[cz
江水江花豈終極	jl[dg uv[uu jl[dg hx[cr qi[uk vs[sw ji[aj
江頭宮殿鎖千門	jl[dg tz[dd gs[gk dm[uj so[jx qm[pu mf[du
將往復旋如有情	jl[dx wh[rd fu[ro xr[fr ru[nk yz[uo qk[xf
江鄉故人偶集客舍	jl[dg xl[sp gu[gw rf[pd ou[ro ji[va ke[gw ue[rg
江雪	jl[dg xt[yx
將因臥病解朝衣	jl[dx yb[wd wo[kb bk[bh jp[dd ic[uo yi[wy
絳幘雞人送曉籌	jl[sw ze[jf ji[yn rf[pd ss[bz xn[oq iz[vf
江州司馬青衫溼	jl[dg vz[dp si[vh ma[vv qk[fo uj[yp ui[do
江州重別薛六柳八二員外	jl[dg vz[dp vs[ph bp[kd xt[cp lq[wb lq[ap ba[pd er[hh yr[kb wd[xb
椒房阿監青娥老	jn[au fh[hf aa[ek jm[um qk[fo ee[np lc[tb
矯矯珍木巔	jn[up jn[up vf[wr mu[ub dm[uu
蛟龍出沒猩鼯號	jn[il ls[yp iu[ck mo[dj xk[qo wu[jw hc[kk
教妾若為容	jn[tw qp[ln ro[cu ww[dl rs[xr
矯如群帝驂龍翔	jn[up ru[nk qy[xy di[lj cj[ms ls[yp xl[yx
腳著謝公屐	jn[ot vu[ct xp[yu gs[bs ji[ur
嗟爾遠道之人	jp[ky er[dx yr[ez dc[bz vi[dv rf[pd
節候看應晚	jp[ce hz[ru kj[fm yk[gx wj[od
嗟乎	jp[ky hu[pb
羯胡事主終無賴	jp[yo hu[go ui[hk vu[dw vs[sw wu[ee ld[hd
嗟君此別意何如	jp[ky jy[xk ci[vb bp[kd yi[lx he[rk ru[nk
節使三河募年少	jp[ce ui[rh sj[hh he[dk mu[cl nm[rn uc[xp
借問苦心愛者誰	jp[rg wf[mk ku[cg xb[dv ai[au ve[to uv[yv
借問路傍名利客	jp[rg wf[mk lu[zw bh[rl mk[xk li[hd ke[gw
皆向沙場老	jp[bb xl[pk ua[dx ih[tv lc[tb
婕妤傳詔才人索	jp[nh yu[ny ir[re vc[yd cd[hu rf[pd so[uy
皆與此圖筋骨同	jp[bb yu[hv ci[vb tu[ww jb[vo gu[ko ts[kh
嗟予好古生苦晚	jp[ky yu[sv hc[nz gu[uk ug[pf ku[cg wj[od
嗟餘聽鼓應官去	jp[ky yu[re tk[kj gu[uu yk[gx gr[gu qu[ts
嗟哉吾黨二三子	jp[ky zd[tk wu[wk dh[xk er[hh sj[hh zi[lh
今安在	jb[rd an[gn zd[ut
金鞭斷折九馬死	jb[rw bm[gr dr[mj ve[fj jq[pv ma[vv si[hx
金蟾齧鎖燒香入	jb[rw ij[id np[kv so[jx uc[hq xl[ho ru[pd
金昌緒	jb[rw ih[oo xu[st
今成流淚泉	jb[rd ig[wv lq[dw lw[dm qr[bu
錦城雖雲樂	jb[jb ig[tw sv[ki yy[es le[px
近得歸京邑	jb[jz de[ro gv[ux jk[wk yi[kb
錦帆應是到天涯	jb[jb fj[jj yk[gx ui[op dc[hd tm[hd ya[di
錦官城外柏森森	jb[jb gr[gu ig[tw wd[xb bd[ab sf[aa sf[aa
今見功名勝古人	jb[rd jm[ke gs[gl mk[xk ug[op gu[uk rf[pd
錦江春色來天地	jb[jb jl[dg iy[so se[db ld[hm tm[hd di[ty
今看兩楹奠	jb[rd kj[fm ll[hk yk[an dm[bd
津口停舟渡不得	jb[dy kz[uv tk[rw vz[pk du[dg bu[eu de[ro
矜誇紫騮好	jb[yr kx[dh zi[vy lq[mp hc[nz
今來典斯郡	jb[rd ld[hm dm[kb si[qj jy[xe
近淚無干土	jb[jz lw[dm wu[ee gj[hu tu[uh
禁裡疏鍾官舍晚	jb[ae li[ot uu[pw vs[jv gr[gu ue[rg wj[od
金陵津渡小山樓	jb[rw lk[et jb[dy du[dg xn[ub uj[uk lz[am
金陵酒肆留別	jb[rw lk[et jq[dy si[iy lq[pt bp[kd
金陵王氣黯然收	jb[rw lk[et wh[su qi[rh an[hl rj[xd uz[vw
金陵子弟來相送	jb[rw lk[et zi[lh di[bg ld[hm xl[am ss[bz
禁門宮樹月痕過	jb[ae mf[du gs[gk uu[ay yt[ke hf[bg go[cz
今年歡笑復明年	jb[rd nm[rn hr[yd xn[vp fu[ro mk[oo nm[rn
今漂淪憔悴	jb[rd pn[dx ly[dr qn[xv cv[xw
金闕前開二峰長	jb[rw qt[mn qm[bo kd[hc er[hh fg[uw ih[ph
金闕西廂叩玉扃	jb[rw qt[mn xi[hk xl[ia kz[ke yu[wd js[hk
金闕曉鍾開萬戶	jb[rw qt[mn xn[oq vs[jv kd[hc wj[hv hu[du
今人多不彈	jb[rd rf[pd do[xx bu[eu tj[gb
今日垂楊生左肘	jb[rd ri[wh iv[ph yh[av ug[pf zo[ug vz[oc
今日俸錢過十萬	jb[rd ri[wh fg[rs qm[jj go[cz ui[hu wj[hv
今日花開又一年	jb[rd ri[wh hx[cr kd[hc yz[vd yi[hh nm[rn
盡日君王看不足	jb[ud ri[wh jy[xk wh[su kj[fm bu[eu zu[kv
今日龍鍾人共老	jb[rd ri[wh ls[yp vs[jv rf[pd gs[gb lc[tb
今日之日多煩憂	jb[rd ri[wh vi[dv ri[wh do[xx fj[hy yz[xy
近入千家散花竹	jb[jz ru[pd qm[pu jx[gu sj[gw hx[cr vu[rr
錦瑟	jb[jb se[wx
錦瑟無端五十弦	jb[jb se[wx wu[ee dr[lu wu[hu ui[hu xm[gw
金山西見煙塵飛	jb[rw uj[uk xi[hk jm[ke yj[hw if[xt fw[vp
今上岳陽樓	jb[rd uh[bh yt[qu yh[eo lz[am
金繩鐵索鎖鈕壯	jb[rw ug[sk tp[jp so[uy so[jx nq[ji vl[du
近時郭家獅子花	jb[jz ui[oc go[we jx[gu ui[qu zi[lh hx[cr
金石刻畫臣能為	jb[rw ui[ek ke[wd hx[ht if[ku ng[sb ww[dl
近試上張水部	jb[jz ui[yq uh[bh vh[gi uv[uu bu[le
金粟堆前木已拱	jb[rw su[xm dv[tv qm[bo mu[ub yi[kv gs[fg
金粟堆前松柏裡	jb[rw su[xm dv[tv qm[bo ss[ab bd[ab li[ot
今為羌笛出塞聲	jb[rd ww[dl ql[yv di[vy iu[ck sd[gt ug[um
今我不樂思岳陽	jb[rd wo[pf bu[eu le[px si[tx yt[qu yh[eo
今我遊冥冥	jb[rd wo[pf yz[df mk[go mk[go
今無其器存其辭	jb[rd wu[ee qi[cb qi[kq cy[uz qi[cb ci[ql
金屋無人見淚痕	jb[rw wu[uh wu[ee rf[pd jm[ke lw[dm hf[bg
今夕復何夕	jb[rd xi[xd fu[ro he[rk xi[xd
近鄉情更怯	jb[jz xl[sp qk[xf gg[ho qp[xt
金星妝成嬌侍夜	jb[rw xk[op vl[dn ig[wv jn[np ui[rt ye[wr
今夜鄜州月	jb[rd ye[wr lu[[ vz[dp yt[ke
今夜偏知春氣暖	jb[rd ye[wr pm[rh vi[uk iy[so qi[rh nr[oa
今夜聞君琵琶語	jb[rd ye[wr wf[me jy[xk pi[wb pa[wb yu[yw
今朝都到眼前來	jb[rd vc[uo dz[te dc[hd yj[mg qm[bo ld[hm
今朝郡齋冷	jb[rd vc[uo jy[xe vd[we lg[dr
