哀江頭	ai[wk jl[dg tz[dd
碧文圓頂夜深縫	bi[we wf[wi yr[wk dk[dy ye[wr uf[dg fg[sw
遍插茱萸少一人	bm[hz ia[fq vu[cp yu[cj uc[xp yi[hh rf[pd
變調如聞楊柳春	bm[yy dn[yk ru[nk wf[me yh[av lq[ap iy[so
邊亭流血成海水	bm[lz tk[wd lq[dw xt[pm ig[wv hd[dr uv[uu
邊庭飄搖那可度	bm[lz tk[gq pn[xf yc[fa na[ve ke[dk du[gn
便下襄陽向洛陽	bm[rh xx[hb xl[wk yh[eo xl[pk lo[dw yh[eo
遍飲坐者	bm[hz yb[ud zo[rr ve[to
便至四十西營田	bm[rh vi[ht si[we ui[hu xi[hk yk[ck tm[wu
表曰臣愈昧死上	bn[fy yt[wh if[ku yu[rx mw[oh si[hx uh[bh
別房太尉墓	bp[kd fh[hf td[dd ww[uc mu[ct
別來滄海事	bp[kd ld[hm ch[dr hd[dr ui[hk
別離在今晨	bp[kd li[wk zd[ut jb[rd if[oi
別時茫茫江浸月	bp[kd ui[oc mh[cd mh[cd jl[dg jb[dx yt[ke
別意與之誰短長	bp[kd yi[lx yu[hv vi[dv uv[yv dr[ud ih[ph
別有幽愁暗恨生	bp[kd yz[uo yz[yy iz[hx an[ol hf[xg ug[pf
賓從雜沓實要津	bb[gq cs[rr za[ja ta[uo ui[gd yc[xn jb[dy
鬢髮各已蒼	bb[ig fa[vy ge[wk yi[kv ch[cr
鬢絲生幾縷	bb[ig si[sh ug[pf ji[pv lv[sm
兵車行	bk[qb ie[qu xk[rh
稟君子	bk[we jy[xk zi[lh
柄任儒術崇丘軻	bk[ah rf[rq ru[ry uu[ad is[ug qq[jh ke[ik
兵衛森畫戟	bk[qb ww[eh sf[aa hx[ht ji[ug
冰崖轉石萬壑雷	bk[du ya[ui vr[ie ui[ek wj[hv he[bt lw[yt
波撼岳陽城	bo[dp hj[fw yt[qu yh[eo ig[tw
薄宦梗猶泛	bo[cd hr[gk gg[ah yz[qy fj[dp
波瀾動遠空	bo[dp lj[dm ds[el yr[ez ks[xg
波瀾誓不起	bo[dp lj[dm ui[fy bu[eu qi[zk
薄暮空潭曲	bo[cd mu[co ks[xg tj[dx qu[ou
薄暮漁樵乘水入	bo[cd mu[co yu[dy qn[av ig[qb uv[uu ru[pd
泊秦淮	bo[db qb[sh hk[dv
波上馬嘶看棹去	bo[dp uh[bh ma[vv si[kq kj[fm vc[ab qu[ts
伯仲之間見伊呂	bo[rb vs[rv vi[dv jm[mo jm[ke yi[rx lv[kk
不哀傷而自怨	bu[eu ai[wk uh[rr er[ek zi[pm yr[xx
不把雙眉鬥畫長	bu[eu ba[fb ul[yy mw[mm dz[du hx[ht ih[ph
不辨仙源何處尋	bu[eu bm[ld xm[ru yr[di he[rk iu[wb xy[xc
不才明主棄	bu[eu cd[hu mk[oo vu[dw qi[wc
不重生男重生女	bu[eu is[ph ug[pf nj[tl is[ph ug[pf nv[vp
步出東齋讀	bu[vu iu[ck ds[qx vd[we du[yu
不得到遼西	bu[eu de[ro dc[hd ln[lz xi[hk
不得顧采薇	bu[eu de[ro gu[iy cd[aa ww[cr
不得收骨肉	bu[eu de[ro uz[vw gu[ko rz[kr
不犯此	bu[eu fj[qe ci[vb
不敢長語臨交衢	bu[eu gj[vw ih[ph yu[yw lb[uv jn[li qu[rm
不敢過臨洮	bu[eu gj[vw go[cz lb[uv tc[dv
不敢問來人	bu[eu gj[vw wf[mk ld[hm rf[pd
不敢倚先賢	bu[eu gj[vw yi[rd xm[ne xm[ub
不見長安見塵霧	bu[eu jm[ke ih[ph an[gn jm[ke if[xt wu[yw
不見玉顏空死處	bu[eu jm[ke yu[wd yj[ly ks[xg si[hx iu[wb
不盡長江滾滾來	bu[eu jb[ud ih[ph jl[dg gy[dl gy[dl ld[hm
不據山河據平地	bu[eu ju[fu uj[uk he[dk ju[fu pk[hb di[ty
不覺碧山暮	bu[eu jt[xj bi[we uj[uk mu[co
不覺已鳴鴉	bu[eu jt[xj yi[kv mk[kn ya[yn
不堪人事日蕭條	bu[eu kj[tq rf[pd ui[hk ri[wh xn[cx tn[wa
不堪盈手贈	bu[eu kj[tq yk[nm uz[su zg[bb
不肯低頭在草莽	bu[eu kf[vo di[ru tz[dd zd[ut cc[co mh[cq
不露文章世已驚	bu[eu lu[yz wf[wi vh[lo ui[nv yi[kv jk[xw
不能廢人運酒舫	bu[eu ng[sb fw[gv rf[pd yy[ez jq[dy fh[vf
不能聽終淚如雨	bu[eu ng[sb tk[kj vs[sw lw[dm ru[nk yu[hk
不寢聽金鑰	bu[eu qb[gd tk[kj jb[rw yc[jo
不是宸遊玩物華	bu[eu ui[op if[gi yz[df wj[we wu[nb hx[ru
不似潁川空使酒	bu[eu si[rs yk[by ir[pu ks[xg ui[rh jq[dy
不惜珊瑚持與人	bu[eu xi[xg uj[wk hu[wg ii[ft yu[hv rf[pd
不信妾腸斷	bu[eu xb[ry qp[ln ih[ov dr[mj
步行奪得胡馬騎	bu[vu xk[rh do[dc de[ro hu[go ma[vv qi[md
不以道昏而昧其視	bu[eu yi[sr dc[bz hy[uo er[ek mw[oh qi[cb ui[uj
不疑靈境難聞見	bu[eu yi[bs lk[xh jk[tl nj[yv wf[me jm[ke
不以俗厚而易其真	bu[eu yi[sr su[rb hz[io er[ek yi[ob qi[cb vf[uj
不知何處吹蘆管	bu[eu vi[uk he[rk iu[wb iv[kd lu[ch gr[vg
不知香積寺	bu[eu vi[uk xl[ho ji[hk si[tc
不知心恨誰	bu[eu vi[uk xb[dv hf[xg uv[yv
不自著羅衣	bu[eu zi[pm vu[ct lo[sx yi[wy
採柏動盈掬	cd[aa bd[ab ds[el yk[nm ju[fb
才薄將奈石鼓何	cd[hu bo[cd jl[dx nd[de ui[ek gu[uu he[rk
裁縫寄遠道	cd[ty fg[sw ji[gd yr[ez dc[bz
才可容顏十五餘	cd[hu ke[dk rs[xr yj[ly ui[hu wu[hu yu[ur
蔡女昔造胡笳聲	cd[cx nv[vp xi[go zc[nz hu[go jx[vl ug[um
採桑綠水邊	cd[aa sh[ya lv[sx uv[uu bm[lz
採山因買斧	cd[aa uj[uk yb[wd md[vd fu[bj
蠶叢及魚鳧	cj[ti cs[rh ji[pv yu[dt fu[nj
蠶飢妾欲去	cj[ti ji[uj qp[ln yu[bd qu[ts
蠶眠桑葉稀	cj[ti mm[mm sh[ya ye[ku xi[hi
殘宵猶得夢依稀	cj[hj xn[gx yz[qy de[ro mg[ax yi[ry xi[hi
殘陽西入崦	cj[hj yh[eo xi[hk ru[pd yj[ud
殘螢棲玉露	cj[hj yk[ci qi[ax yu[wd lu[yz
殘月下章臺	cj[hj yt[ke xx[hb vh[lo td[sk
殘雲歸太華	cj[hj yy[es gv[ux td[dd hx[ru
殘鍾廣陵樹	cj[hj vs[jv gl[di lk[et uu[ay
蒼蒼橫翠微	ch[cr ch[cr hg[ag cv[xw ww[ru
蒼蒼竹林寺	ch[cr ch[cr vu[rr lb[aa si[tc
滄海月明珠有淚	ch[dr hd[dr yt[ke mk[oo vu[wp yz[uo lw[dm
滄江好煙月	ch[dr jl[dg hc[nz yj[hw yt[ke
